,camera,fname,a0,a1,a2,s0,s1,s2
0,HTC-1-M7,(HTC-1-M7)1.jpg,118.2232267680921,115.00389597039474,111.96779791275063,57.21081804418792,54.533104129274534,64.85387754043794
1,HTC-1-M7,(HTC-1-M7)10.jpg,128.14114142778823,122.82534069548872,107.2542109668703,56.619942752932225,55.00249758104234,59.375556194735125
2,HTC-1-M7,(HTC-1-M7)100.jpg,98.61065995065789,89.71446267034774,82.4528631148183,68.86836639068817,73.29807379281229,73.46391764732256
3,HTC-1-M7,(HTC-1-M7)101.jpg,109.47716214364036,104.01123487429511,102.43525733278508,46.96167630424133,50.286467406829225,54.13375280873812
4,HTC-1-M7,(HTC-1-M7)102.jpg,105.73042714207394,70.8301992774906,103.6312695802005,17.31077969678099,18.811961551102975,15.008880430136761
5,HTC-1-M7,(HTC-1-M7)103.jpg,128.01718823425753,103.37004498551065,120.18945410401003,40.694683572775645,48.433830375879985,37.271501213783914
6,HTC-1-M7,(HTC-1-M7)104.jpg,120.58568638392858,99.61663705161341,102.52359047031642,61.89124319186329,69.32000057387684,50.105013288411975
7,HTC-1-M7,(HTC-1-M7)105.jpg,134.8487816220238,114.75729803023182,117.14813204887218,49.68831515753811,54.879073648639974,38.785597891617655
8,HTC-1-M7,(HTC-1-M7)106.jpg,79.74310703516603,71.80953066259399,67.68110902255638,77.55958165170183,79.64481774771177,78.16673315026794
9,HTC-1-M7,(HTC-1-M7)107.jpg,123.0485273241698,96.781796777099,107.83413342927632,55.79422111390746,64.06822021987837,53.68281518753803
10,HTC-1-M7,(HTC-1-M7)108.jpg,110.98699899161967,93.62909519893483,92.95073254425125,51.61961348175228,60.54809306717829,58.03178849141135
11,HTC-1-M7,(HTC-1-M7)109.jpg,131.89707643131266,115.15927318295739,111.35441974075815,39.467363584214574,49.45454628847041,52.090701028041906
12,HTC-1-M7,(HTC-1-M7)11.jpg,123.25121030114349,126.48309469963972,122.74150610902255,56.44489048131227,62.22758378299699,66.47666989183034
13,HTC-1-M7,(HTC-1-M7)110.jpg,125.08668448464913,96.1524492383302,113.88310767152255,46.52849219702985,54.7544353857245,42.05958109576326
14,HTC-1-M7,(HTC-1-M7)111.jpg,96.27293037280701,102.61059068569863,97.84508022987156,69.01303107019778,76.16164449553632,76.21367065482376
15,HTC-1-M7,(HTC-1-M7)112.jpg,78.67660337366854,85.83706580905388,86.40060258067042,80.94339911383148,91.8956725612536,99.36873328523458
16,HTC-1-M7,(HTC-1-M7)113.jpg,96.60936863643484,92.90847480028195,89.20107740053258,72.07993454042915,74.49162905995394,75.13462080462409
17,HTC-1-M7,(HTC-1-M7)114.jpg,94.69160963933271,89.72643449443922,82.18179922462406,62.46262048016472,64.8537702696282,61.95035028412983
18,HTC-1-M7,(HTC-1-M7)115.jpg,77.66996935698621,89.1543947760025,97.52807066494361,65.49067790585444,74.03565014065012,85.65640175902827
19,HTC-1-M7,(HTC-1-M7)116.jpg,114.03159142974624,125.68346819196428,124.23504929315476,69.02249847544105,65.49411163078469,66.4129021698283
20,HTC-1-M7,(HTC-1-M7)117.jpg,110.99583553610589,113.32160283521303,107.1591209468985,72.82248634038332,70.70504576509227,70.39946251779197
21,HTC-1-M7,(HTC-1-M7)118.jpg,127.98682742011279,109.35556836427006,103.07630722313597,55.80270101243542,66.00441047267945,66.71962979261971
22,HTC-1-M7,(HTC-1-M7)119.jpg,104.53049322525062,99.9531602443609,93.07045714873121,55.22257570104632,57.14333069048074,61.1140175328641
23,HTC-1-M7,(HTC-1-M7)12.jpg,119.01419026080828,123.7662263569079,123.5211174909931,66.35239667520865,69.084030285297,76.88823999107719
24,HTC-1-M7,(HTC-1-M7)120.jpg,133.87645015859962,129.74791495339912,122.90008003406955,58.51213736832982,56.58475635712843,56.760807273485284
25,HTC-1-M7,(HTC-1-M7)121.jpg,109.15168610001567,95.89111426026003,79.524609375,71.74729960601253,54.270989442108586,46.64542472951443
26,HTC-1-M7,(HTC-1-M7)122.jpg,100.85494449013157,100.47098556939223,90.26219993342731,76.46498218227057,70.47456449522244,59.731046183803564
